course,institution,cluster_number,cutoff_points,year
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),KENYATTA UNIVERSITY,14,35.312,2019
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),KENYATTA UNIVERSITY,14,26.312,2020
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),KENYATTA UNIVERSITY,14,25.479,2021
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),KENYATTA UNIVERSITY,14,27.578,2022
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),KENYATTA UNIVERSITY,14,25.901,2023
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),UNIVERSITY OF NAIROBI,14,24.726,2024
"BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY, WITH IT)",MASENO UNIVERSITY,14,30.96,2018
"BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY, WITH IT)",MASENO UNIVERSITY,14,29.674,2019
"BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY, WITH IT)",MASENO UNIVERSITY,14,25.029,2020
"BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY, WITH IT)",MASENO UNIVERSITY,14,16.787,2021
"BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY, WITH IT)",MASENO UNIVERSITY,14,15.982,2022
"BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY, WITH IT)",MASENO UNIVERSITY,14,15.683,2023
BACHELOR OF SCIENCE (COMPUTER SCIENCE),CHUKA UNIVERSITY,15,31.983,2018
BACHELOR OF SCIENCE (COMPUTER SCIENCE),CHUKA UNIVERSITY,15,34.108,2019
BACHELOR OF SCIENCE (COMPUTER SCIENCE),CHUKA UNIVERSITY,15,34.534,2020
BACHELOR OF SCIENCE (COMPUTER SCIENCE),CHUKA UNIVERSITY,15,33.917,2021
BACHELOR OF SCIENCE (COMPUTER SCIENCE),CHUKA UNIVERSITY,15,35.626,2022
BACHELOR OF SCIENCE (COMPUTER SCIENCE),CHUKA UNIVERSITY,15,35.372,2023
BACHELOR OF SCIENCE (COMPUTER SCIENCE),CHUKA UNIVERSITY,15,35.794,2024
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,GARISSA UNIVERSITY,15,24.816,2018
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,GARISSA UNIVERSITY,15,29.587,2019
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,GARISSA UNIVERSITY,15,19.481,2020
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,GARISSA UNIVERSITY,15,19.223,2021
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,GARISSA UNIVERSITY,15,18.638,2022
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,GARISSA UNIVERSITY,15,18.814,2023
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,KISII UNIVERSITY,15,24.741,2024
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,CO-OPERATIVE UNIVERSITY OF KENYA,9,29.726,2018
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,CO-OPERATIVE UNIVERSITY OF KENYA,9,31.679,2019
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,CO-OPERATIVE UNIVERSITY OF KENYA,9,34.636,2020
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,CO-OPERATIVE UNIVERSITY OF KENYA,9,36.09,2021
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,CO-OPERATIVE UNIVERSITY OF KENYA,9,38.257,2022
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,CO-OPERATIVE UNIVERSITY OF KENYA,9,37.695,2023
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,CO-OPERATIVE UNIVERSITY OF KENYA,9,38.858,2024
BACHELOR OF SCIENCE (COMPUTER SCIENCE,MURANG'A UNIVERSITY OF TECHNOLOGY,15,28.599,2018
BACHELOR OF SCIENCE (COMPUTER SCIENCE,MURANG'A UNIVERSITY OF TECHNOLOGY,15,30.009,2019
BACHELOR OF SCIENCE (COMPUTER SCIENCE,MURANG'A UNIVERSITY OF TECHNOLOGY,15,32.086,2020
BACHELOR OF SCIENCE (COMPUTER SCIENCE,MURANG'A UNIVERSITY OF TECHNOLOGY,15,31.734,2021
BACHELOR OF SCIENCE (COMPUTER SCIENCE,MURANG'A UNIVERSITY OF TECHNOLOGY,15,34.872,2022
